STG_Location,QR_UUID
STG-DD132-3,52F72783-32D0-4A73-A87A-B0EB8AFB76EF
STG-DD132-4,4DC43620-C007-4E86-9DEA-2A2B2ED0D8C1
STG-DD132-5,4B7520AA-4EDF-4CB0-BE43-2553F7654673
STG-DD132-6,C7A40DE0-B9E1-4D2E-9B13-19339F815990
STG-DD132-7,5D615D83-0E82-46AA-B41A-05A35F2B8A35
STG-DD132-8,4DFBB477-0693-441F-B6FC-4DF0BA9B736C
STG-DD132-9,8A661F33-ADB1-4FA1-8C55-724E3293E14F
STG-DD132-10,0EAD01C7-AA93-4BCB-823D-5FBB16B5FE4D
STG-DD132-11,8C03E678-0772-4083-834A-3B0A98269703
STG-DD132-12,4076EED8-EEDE-49AC-8E15-B29EE5C5E136
STG-DD132-13,E165883B-5103-4C9A-9998-D6D6A7044582
STG-DD132-14,B02FCDC9-5A1A-407E-A9A7-564BA44F71C6
STG-DD132-15,5968105A-06BE-4639-8C83-7D852B674366
STG-DD132-16,11D1FAF9-BC42-465C-9235-2BA1A8919260
STG-DD132-17,4E9DCCDF-395C-48AB-B2AF-8D4C5EE574D2
STG-DD132-18,ED10B68A-23F5-4F38-912E-79727BB7060E
STG-DD132-19,3E0BDA27-5DBF-4EBB-8557-0334B652228A
STG-DD132-20,2FE0C52B-9505-4B51-8C87-772C9B54C1FE
STG-DD132-21,3E6C7928-DA33-4985-BAAA-47B3924F2F4E
STG-DD132-22,940A2177-9DEE-40E5-BB12-BF048FC006A7
STG-DD132-23,28485909-B8FF-4A11-A54C-6F0612C2CBC4
STG-DD132-24,6F9CCA31-A56D-4957-942A-340906DF4C74
STG-DD132-25,3AABC5AB-331F-408E-B9DC-56E6E7DB5E63
STG-DD132-26,0D0DF839-7D31-42F4-919D-B4B2C4095545
STG-DD132-27,ECF7382D-5EF6-4476-A425-F201E0F8AFD0
STG-DD132-28,D0DCD4E0-2CCB-45F2-9592-36B5E50BFA84
STG-DD132-29,4EA38CCA-6F1A-4584-A0E0-895220BDF30F
STG-DD132-30,4A97043F-65F0-42B8-8B54-0FE36E7DF222
STG-DD132-31,800995E5-ED5D-4A7C-A522-01AFB4E4ACCC
STG-DD132-32,F5D2273B-E6CD-4BA2-839B-0862605DED87
